UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name
HC_00_B_20231101,0.028949677,0.022152114,0.027340707,0.033404997,0.056691509,0.002043369,0.013408262,0.022582564,0.010125835,0.033922844,0.057924023,0.875998054,1.922151167,1.572108753,0.818461579,2.357508881,0.060278401,11.61170621,Group003Sample0002,nyssa_run3
HC_00_B_dawn_20231029,0.031236251,0.024188572,0.028782848,0.03718037,0.05207929,0.00254417,0.014316332,0.024072651,0.010187973,0.036359279,0.050973392,0.847920998,2.276638137,1.609726797,0.774140979,2.20825178,0.053688689,11.60098676,Group003Sample0004,nyssa_run3
HC_00_B_dawn_20231030,0.031654598,0.026870133,0.030048014,0.036328654,0.071789001,0,0.014537047,0.024557341,0.010881475,0.039186145,0.085340598,0.883945887,1.803774089,1.485740305,0.827116098,2.828750717,0.064750169,13.13213916,Group003Sample0005,nyssa_run3
HC_00_B_dawn_20231102,0.031283725,0.0325712,0.027261746,0.035894097,0.133793777,0.028665018,0.013616529,0.022863213,0.009772522,0.03583962,0.133410283,1.021419777,1.055601492,1.583366214,0.759504996,4.876464534,0.104149195,17.26587498,Group002Sample0002,nyssa_run3
HC_00_B_dawn_20231103,0.025315845,0.034737489,0.021848223,0.032353822,0.140112657,0.01557546,0.010882688,0.018045999,0.00788311,0.029545873,0.185250733,1.180675345,0.790986467,1.630262788,0.675290322,5.071709524,0.117315966,18.44734073,Group001Sample0004,nyssa_run3
HC_00_C_20231024,0.033972003,0.028901337,0.031926841,0.037193579,0.064543818,0,0.015975579,0.025743975,0.011805492,0.04177395,0.09660179,0.877245363,1.120506877,1.569249837,0.858396584,3.218748737,0.066288838,15.88356882,Group006Sample0005,nyssa_run3
HC_00_C_20231025,0.031755143,0.033495102,0.029339734,0.036215023,0.07190439,0.02963263,0.014561222,0.024341312,0.01098414,0.037892507,0.116242664,0.933229908,1.285679867,1.550143996,0.810153672,3.278397265,0.071057191,15.14125095,Group007Sample0003,nyssa_run3
HC_00_C_20231027,0.050595558,0.041356301,0.04914373,0.058159421,0.149963116,0.020368788,0.024074925,0.040822182,0.017532745,0.063880573,0.198485099,0.959732375,1.306437855,1.574205813,0.84498315,5.81870127,0.076764463,25.41456671,Group004Sample0001,nyssa_run3
HC_00_C_20231101,0.029506577,0.029764152,0.027718448,0.033869563,0.069717481,0.003775835,0.014046808,0.023170848,0.010037949,0.033686613,0.063663323,0.949324277,1.653232266,1.618879486,0.818388123,2.971827957,0.072227642,12.73363815,Group003Sample0007,nyssa_run3
HC_00_C_dawn_20231029,0.04273246,0.02545996,0.038634041,0.050106422,0.102015415,0.041838214,0.018095799,0.030931266,0.013288558,0.048070447,0.112214384,0.839476132,1.802765308,1.614838949,0.771039715,3.821224322,0.066723644,17.94795473,Group004Sample0003,nyssa_run3
HC_00_C_dawn_20231102,0.030977045,0.034117512,0.027550375,0.035762527,0.081500695,0.030217346,0.012180537,0.022696997,0.008653055,0.034162536,0.110852171,0.926734102,1.400193626,1.661420796,0.770369914,3.403572532,0.078575811,14.94051776,Group001Sample0005,nyssa_run3
HC_00_C_dawn_20231103,0.021932153,0.021228786,0.019246479,0.025274657,0.051846801,0,0.009709111,0.016367816,0.007333223,0.027421828,0.090978909,1.016392976,1.626795932,1.63255724,0.76149319,2.148541979,0.068009269,10.38459998,Group002Sample0001,nyssa_run3
HC_00_C20231026,0.037448258,0.057128557,0.036243282,0.043719778,0.187256169,0.004591661,0.017839912,0.029939864,0.013468454,0.046235115,0.226413636,1.047404237,0.734338623,1.648024032,0.828990538,7.517806937,0.118990324,26.02811382,Group007Sample0001,nyssa_run3
HC_00_dawn_041824,0.034721275,0.036047418,0.034297281,0.041088979,0.208643356,0.028033424,0.01646438,0.028761408,0.013003193,0.042762345,0.202478563,1.18015711,0.920065779,1.656782176,0.83470755,7.125171311,0.121801742,22.42076386,Group004Sample0005,nyssa_run2
